company	latitude	locality	longitude	members	region
West Virginia Highlands Conservancy	38.14183	"Charleston, WV"	-81.65908	1000 - 4999 members	National
Warm Springs Watershed Association 	39.6269902	"Berkeley Springs, WV"	-78.2271957	0 - 499 members	National
Friends of the Cacapon River	39.6200928	"Great Cacapon, WV"	-78.2925093	 members	National
Friends of the Chemung River Watershed	42.0880082	"Elmira, NY"	-76.8076575	0 - 499 members	NY
Upper Susquehanna Coalition	42.1429613	"Owego, NY"	-76.2679887	0 - 499 members	NY
Catskill Mountainkeeper	41.8084219	"Youngsville, NY"	-74.8862745	1000 - 4999 members	NY
"Sidney Center Improvement Group, Inc."	42.2906379	"Sidney Center, NY"	-75.2557286	0 - 499 members	NY
Environment New York	40.7519937	", "	-73.9838392	 members	
New York Council Trout Unlimited 	41.9053703	"Port Ewen, NY"	-73.976249	1000 - 4999 members	NY
Otsego County Conservation Association	42.804424	"Cooperstown, NY"	-74.9028193	1000 - 4999 members	NY
Otsego Land Trust	42.700009	"Cooperstown, NY"	-74.925263	1000 - 4999 members	NY
Environmental Advocates of New York	42.6522314	"Albany, NY"	-73.7648339	10000 - 49999 members	NY
Butternut Valley Alliance	42.6029033	"New Lisbon, NY"	-75.205764	500 - 999 members	NY
New York League of Conservation Voters	40.7062816	"New York, NY"	-74.0116317	10000 - 49999 members	NY
Water Defense	41.9003667	"Livingston Manor, NY"	-74.8282167	1000 - 4999 members	NY
